[2024-01-01 12:45:33,337 : INFO: main: Welcome!]
[2024-01-01 12:45:44,726 : INFO: main: Welcome!]
[2024-01-01 18:30:44,130 : INFO: common: yaml file : config/config.yaml loaded successfully]
[2024-01-01 18:30:44,132 : INFO: common: yaml file : params.yaml loaded successfully]
[2024-01-01 18:30:44,133 : INFO: common: Created directory at : artifacts]
[2024-01-01 18:30:44,135 : INFO: common: Created directory at : artifacts/data_ingestion]
[2024-01-01 18:34:33,697 : INFO: common: yaml file : config/config.yaml loaded successfully]
[2024-01-01 18:34:33,701 : INFO: common: yaml file : params.yaml loaded successfully]
[2024-01-01 18:34:33,704 : INFO: common: Created directory at : artifacts]
[2024-01-01 18:34:33,705 : INFO: common: Created directory at : artifacts/data_ingestion]
[2024-01-01 18:35:26,355 : INFO: common: yaml file : config/config.yaml loaded successfully]
[2024-01-01 18:35:26,357 : INFO: common: yaml file : params.yaml loaded successfully]
[2024-01-01 18:35:26,359 : INFO: common: Created directory at : artifacts]
[2024-01-01 18:35:26,360 : INFO: common: Created directory at : artifacts/data_ingestion]
[2024-01-01 18:35:30,073 : INFO: common: yaml file : config/config.yaml loaded successfully]
[2024-01-01 18:35:30,076 : INFO: common: yaml file : params.yaml loaded successfully]
[2024-01-01 18:35:30,077 : INFO: common: Created directory at : artifacts]
[2024-01-01 18:35:30,078 : INFO: common: Created directory at : artifacts/data_ingestion]
[2024-01-01 18:35:52,711 : INFO: common: yaml file : config/config.yaml loaded successfully]
[2024-01-01 18:35:52,714 : INFO: common: yaml file : params.yaml loaded successfully]
[2024-01-01 18:35:52,716 : INFO: common: Created directory at : artifacts]
[2024-01-01 18:35:52,718 : INFO: common: Created directory at : artifacts/data_ingestion]
[2024-01-01 18:35:52,719 : INFO: 4245256628: Downloading data from https://drive.google.com/file/d/1Q2PqqfXzQWEIkdPDsR_5If2PQsCdCYJz/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-01 18:41:04,849 : INFO: 4245256628: Downloaded data from https://drive.google.com/file/d/1Q2PqqfXzQWEIkdPDsR_5If2PQsCdCYJz/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-02 00:31:19,553 : INFO: common: yaml file : config/config.yaml loaded successfully]
[2024-01-02 00:31:19,560 : INFO: common: yaml file : params.yaml loaded successfully]
[2024-01-02 00:31:19,563 : INFO: common: Created directory at : artifacts]
[2024-01-02 00:31:19,565 : INFO: common: Created directory at : artifacts/prepare_base_model]
[2024-01-02 00:32:34,156 : INFO: common: yaml file : config/config.yaml loaded successfully]
[2024-01-02 00:32:34,160 : INFO: common: yaml file : params.yaml loaded successfully]
[2024-01-02 00:32:34,162 : INFO: common: Created directory at : artifacts]
[2024-01-02 00:32:34,165 : INFO: common: Created directory at : artifacts/prepare_base_model]
[2024-01-02 00:32:47,528 : WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-01-02 00:34:32,010 : INFO: common: yaml file : config/config.yaml loaded successfully]
[2024-01-02 00:34:32,016 : INFO: common: yaml file : params.yaml loaded successfully]
[2024-01-02 00:34:32,018 : INFO: common: Created directory at : artifacts]
[2024-01-02 00:34:32,020 : INFO: common: Created directory at : artifacts/prepare_base_model]
[2024-01-02 00:34:32,500 : WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-01-02 00:40:00,286 : INFO: common: yaml file : config/config.yaml loaded successfully]
[2024-01-02 00:40:00,290 : INFO: common: yaml file : params.yaml loaded successfully]
[2024-01-02 00:40:00,291 : INFO: common: Created directory at : artifacts]
[2024-01-02 00:40:00,293 : INFO: common: Created directory at : artifacts/prepare_base_model]
[2024-01-02 00:40:00,799 : WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-01-02 00:40:19,667 : INFO: common: yaml file : config/config.yaml loaded successfully]
